year,name,team,div,class_year,position,pa,obp,adj_obp,slg,adj_slg,index
2015,"Kaczmarski, Kevin",Evansville,D1,Sr,OF,219,0.548,0.559,0.746,0.761,1.878
2015,"Uhl, Ryan",Indiana (PA),D2,Sr,OF,180,0.539,0.449,1.085,0.903,1.801
2015,"Sell, Nick",Seton Hill,D2,Sr,INF,223,0.534,0.441,1.032,0.852,1.734
2015,"George, Zach",Arkansas St.,D1,Sr,INF,271,0.550,0.566,0.562,0.578,1.709
2015,"Byler, Austin",Nevada,D1,Sr,INF,272,0.511,0.511,0.652,0.652,1.675
2015,"Ferguson, Drew",Belmont,D1,Sr,OF,278,0.496,0.493,0.685,0.681,1.668
2015,"Eads, Taylor",Spring Hill,D2,Sr,OF,164,0.634,0.498,0.846,0.664,1.660
2015,"Martin, Kyle",South Carolina,D1,Sr,1B,247,0.466,0.485,0.635,0.661,1.631
2015,"Tice, Dylan",West Chester,D2,Sr,INF,188,0.548,0.459,0.827,0.693,1.611
2015,"Cuthrell, Collins",UNC Pembroke,D2,Sr,3B,245,0.522,0.432,0.904,0.747,1.610
2015,"Beaty, Matt",Belmont,D1,Sr,INF,277,0.469,0.466,0.668,0.664,1.597
2015,"Rainey, Tanner",West Ala.,D2,Sr,INF,209,0.498,0.431,0.842,0.730,1.593
2015,"Dini, Nick",Wagner,D1,Sr,INF,215,0.502,0.490,0.625,0.610,1.591
2015,"Boehm, Jeff",Ill.-Chicago,D1,Sr,OF,240,0.471,0.465,0.663,0.655,1.584
2015,"Kerian, David",Illinois,D1,Sr,INF,227,0.458,0.463,0.644,0.651,1.576
2015,"Robinson, Chris",Morehead St.,D1,Sr,C,274,0.489,0.467,0.672,0.642,1.575
2015,"Landon, Logan",Tex.-Pan American,D1,Sr,OF,226,0.478,0.473,0.623,0.617,1.563
2015,"Bauml, Cole",Northern Ky.,D1,Sr,OF,191,0.445,0.448,0.663,0.667,1.563
2015,"Koenig, Sam",Milwaukee,D1,Sr,INF,271,0.458,0.455,0.657,0.653,1.562
2015,"Wilson, Matt",Shepherd,D2,Sr,OF,207,0.560,0.458,0.779,0.637,1.554
2015,"Krill, Ryan",Michigan St.,D1,Sr,1B,240,0.446,0.459,0.615,0.633,1.552
2015,"Panas, Connor",Canisius,D1,Sr,INF,287,0.481,0.468,0.633,0.616,1.551
2015,"Lynch, Nick",UC Davis,D1,Sr,INF,246,0.459,0.480,0.558,0.583,1.543
2015,"Falcone, Joey",Columbia,D1,Sr,OF,195,0.431,0.431,0.676,0.677,1.540
