year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2015,"Engel, Kyle",Chicago,Sr,INF,162,0.410,0.750,0.553,1.373
2015,"Haught, Jonathan",Mary Washington,Sr,C,166,0.392,0.771,0.563,1.347
2015,"Nieman, Jordan",Manchester,Sr,3B,195,0.367,0.782,0.570,1.303
2015,"DeMedeiros, Cory",UMass Dartmouth,Sr,C,178,0.354,0.748,0.554,1.262
2015,"Koon, Tiras",Willamette,Sr,C,159,0.361,0.750,0.538,1.259
2015,"Dean, Nick",Maryville (TN),Sr,INF,174,0.370,0.699,0.501,1.241
2015,"Pierce, Mikole",Wis.-Whitewater,Sr,INF,208,0.367,0.680,0.504,1.239
2015,"Grimes, Casey",Rowan,Sr,1B,188,0.379,0.638,0.478,1.236
2015,"Polcyn, Michael",Ripon,Sr,INF,169,0.345,0.746,0.537,1.227
2015,"Dunn, Jake",Kenyon,Sr,INF,173,0.379,0.655,0.467,1.225
2015,"Tew, Parker",MIT,Sr,INF,207,0.352,0.711,0.513,1.216
2015,"Creekmore, Zack",Edgewood,Sr,INF,167,0.369,0.645,0.467,1.205
2015,"Fox, Sam",Pomona-Pitzer,Sr,INF,195,0.361,0.651,0.463,1.185
2015,"Sawyer, Ben",Alvernia,Sr,OF,206,0.333,0.724,0.512,1.179
2015,"Hanahan, Ryan",Marietta,Sr,3B,226,0.339,0.675,0.498,1.176
2015,"Alvarez, Kevin",Averett,Sr,INF,170,0.373,0.596,0.429,1.175
2015,"Derosier, William",Framingham St.,Sr,INF,178,0.344,0.646,0.476,1.163
2015,"Hanke, Cody",Wis.-Stevens Point,Sr,1B,205,0.328,0.672,0.507,1.162
2015,"Howard, Cody",McMurry,Sr,1B,169,0.330,0.673,0.500,1.159
2015,"Loewe, Robert",Mary Hardin-Baylor,Sr,INF,180,0.358,0.589,0.437,1.154
2015,"Gray, Zach",Allegheny,Sr,INF,172,0.355,0.599,0.440,1.149
2015,"Breen, Danny",Salisbury,Sr,OF,155,0.349,0.613,0.449,1.147
2015,"Vance, Frank",Wooster,Sr,INF,221,0.324,0.710,0.498,1.146
2015,"Cupery, Peter",Calvin,Sr,P,167,0.359,0.579,0.428,1.145
2015,"Saccocio, Dan",Oswego St.,Sr,OF,186,0.397,0.474,0.350,1.145
2015,"Bell, Jaren",Hiram,Sr,OF,155,0.389,0.517,0.367,1.144
2015,"Coyne, Joe",St. Joseph's (ME),Sr,C,169,0.351,0.612,0.443,1.144
2015,"Davis, Joshua",Whitworth,Sr,C,191,0.332,0.650,0.479,1.142
2015,"Kammer, Jeff",Webster,Sr,C,179,0.328,0.658,0.484,1.140
2015,"Van Putten, Grant",Calvin,Sr,OF,178,0.357,0.567,0.419,1.133
2015,"Belliveau, Dan",Ohio Northern,Sr,OF,173,0.336,0.633,0.460,1.132
2015,"Grannis, Tony",Marian (WI),Sr,INF,179,0.368,0.553,0.396,1.132
2015,"Weinstein, Alex",New Jersey City,Sr,1B,173,0.340,0.622,0.451,1.131
2015,"Verde, Christian",Heidelberg,Sr,P,196,0.334,0.627,0.456,1.123
2015,"LeSuer, Tim",Rensselaer,Sr,2B,203,0.377,0.515,0.368,1.123
2015,"Barefoot, Austin",Salisbury,Sr,C,150,0.366,0.532,0.389,1.121
2015,"McCoy, Buddy",Texas-Tyler,Sr,INF,204,0.316,0.644,0.482,1.113
2015,"Hoelzer, Craig",Johns Hopkins,Sr,OF,195,0.346,0.580,0.421,1.112
2015,"Walker, Nick",Frostburg St.,Sr,OF,235,0.331,0.609,0.447,1.109
2015,"Ruch, Stephen",Wilkes,Sr,INF,152,0.319,0.672,0.466,1.105
2015,"Hayman, Kyle",Salisbury,Sr,OF,169,0.355,0.538,0.394,1.104
2015,"Ritz, Ryan",Hendrix,Sr,INF,171,0.379,0.462,0.340,1.099
2015,"Power, Chris",Methodist,Sr,C,189,0.352,0.548,0.396,1.099
2015,"McLain, John",Wooster,Sr,INF,214,0.338,0.594,0.417,1.093
2015,"Geers, Mitch",Marietta,Sr,1B,230,0.362,0.497,0.366,1.091
2015,"Okuma, Mark",Pomona-Pitzer,Sr,INF,178,0.348,0.556,0.395,1.090
2015,"Luciano, Kevin",Keystone,Sr,INF,187,0.334,0.590,0.419,1.086
2015,"Rottier, Troy",St. Norbert,Sr,INF,161,0.329,0.589,0.427,1.085
2015,"Jensen, Jared",Rensselaer,Sr,P,190,0.316,0.629,0.450,1.083
2015,"Chenoweth, William",Millsaps,Sr,P,194,0.321,0.599,0.439,1.082
2015,"Shumaker, Keith",Millsaps,Sr,INF,197,0.346,0.530,0.389,1.081
2015,"Hancock, Connor",Redlands,Sr,OF,173,0.324,0.622,0.431,1.080
2015,"Utley, DJ",Wartburg,Sr,INF,192,0.316,0.602,0.446,1.078
2015,"McCoy, T.J.",Marian (WI),Sr,INF,175,0.331,0.578,0.414,1.077
2015,"Jasper, Brandon",Augustana (IL),Sr,OF,188,0.356,0.506,0.364,1.077
2015,"McKenna, Thomas",St. Joseph's (Brkln),Sr,OF,172,0.334,0.601,0.407,1.076
2015,"Mainini, Mark",Framingham St.,Sr,INF,189,0.339,0.537,0.396,1.074
2015,"Kappers, Gordon",Augsburg,Sr,INF,170,0.350,0.518,0.372,1.072
2015,"Brock, Jameson",Franklin,Sr,OF,178,0.344,0.529,0.385,1.072
2015,"Hufferd, Zack",Anderson (IN),Sr,1B,204,0.322,0.587,0.428,1.071
2015,"Gronski, Andrew",Case,Sr,3B,177,0.356,0.486,0.356,1.069
2015,"Lowery, Chris",Washington-St. Louis,Sr,INF,221,0.333,0.549,0.400,1.067
2015,"Cotton, Ronald",Mt. St. Joseph,Sr,OF,153,0.323,0.578,0.420,1.065
2015,"Craft, Jacob",Anderson (IN),Sr,OF,200,0.324,0.571,0.416,1.065
2015,"Whitener, Benjamin",Oberlin,Sr,1B,168,0.320,0.589,0.422,1.061
2015,"Pajka, Nate",Bates,Sr,OF,161,0.307,0.607,0.447,1.060
2015,"De La Cruz, Apolinar",Wheaton (MA),Sr,1B,181,0.319,0.587,0.423,1.060
2015,"Kessinger, Zack",Washington-St. Louis,Sr,1B,221,0.350,0.492,0.359,1.058
2015,"Scarborough, Clint",Wabash,Sr,OF,155,0.317,0.585,0.423,1.058
2015,"Birk, Vinnie",Blackburn,Sr,INF,160,0.361,0.462,0.333,1.055
2015,"Yiantsos, Andonis",Arcadia,Sr,P,154,0.326,0.576,0.402,1.054
2015,"Mayfield, Jacob",Birmingham-So.,Sr,C,211,0.327,0.533,0.400,1.054
2015,"Flanagan, Skip",Rochester Inst.,Sr,1B,171,0.349,0.486,0.353,1.051
2015,"Paparone, Joe",North Central (IL),Sr,OF,176,0.316,0.565,0.413,1.045
2015,"Rojas, Gaston",Keystone,Sr,OF,198,0.315,0.584,0.414,1.045
2015,"Rogers, Joe",Lynchburg,Sr,OF,162,0.347,0.482,0.348,1.043
2015,"Gatti, Luke",Elizabethtown,Sr,1B,174,0.341,0.503,0.360,1.043
2015,"Gennusa, Tony",Texas Lutheran,Sr,OF,185,0.330,0.519,0.382,1.043
2015,"Consigli, Matt",Becker,Sr,OF,158,0.317,0.577,0.407,1.042
2015,"Turnquest, Andre",Oglethorpe,Sr,OF,180,0.336,0.506,0.369,1.042
2015,"George, Zach",Worcester St.,Sr,INF,174,0.333,0.520,0.376,1.042
2015,"Pfaff, Aaron",Saint John's (MN),Sr,OF,194,0.337,0.503,0.369,1.042
2015,"Aggostini, George",UMass Dartmouth,Sr,3B,192,0.332,0.509,0.377,1.041
2015,"Jacob, Chad",Pitt.-Greensburg,Sr,1B,184,0.312,0.598,0.418,1.041
2015,"Gregorich, Bobby",Wis.-Stevens Point,Sr,OF,196,0.316,0.541,0.408,1.040
2015,"Carney, Jarad",Neumann,Sr,INF,155,0.340,0.504,0.359,1.040
2015,"Haley, Joe",Salve Regina,Sr,INF,171,0.340,0.493,0.359,1.039
2015,"Bruml, Jake",Pomona-Pitzer,Sr,P,167,0.324,0.549,0.390,1.038
2015,"Severson, Aldon",Luther,Sr,INF,171,0.314,0.556,0.409,1.036
2015,"Bomasuto, Vinny",SUNY Cortland,Sr,OF,179,0.328,0.516,0.379,1.034
2015,"Mohoney, Sean",Mount Union,Sr,C,153,0.318,0.547,0.397,1.033
2015,"McDavitt, Connor",Tufts,Sr,OF,180,0.350,0.453,0.328,1.027
2015,"Etheridge, Annon",Millsaps,Sr,INF,170,0.341,0.470,0.345,1.026
2015,"Crowl, Collin",Cal Lutheran,Sr,INF,178,0.328,0.525,0.369,1.025
2015,"Brady, Ricky",Frostburg St.,Sr,1B,222,0.301,0.576,0.423,1.024
2015,"McCarthy, Colin",Johns Hopkins,Sr,OF,200,0.312,0.550,0.399,1.022
2015,"Nilson, Collin",Pacific Lutheran,Sr,OF,189,0.301,0.561,0.420,1.022
2015,"VanDomelen, Cory",Linfield,Sr,INF,217,0.332,0.474,0.356,1.021
2015,"Rapacz, Zach",George Fox,Sr,OF,180,0.309,0.534,0.402,1.021
2015,"Ulino, Eric",Baruch,Sr,INF,150,0.302,0.589,0.416,1.020
