year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2015,"Engel, Kyle",Chicago,Sr,INF,162,0.518,0.750,0.700,1.737
2015,"Haught, Jonathan",Mary Washington,Sr,C,166,0.496,0.771,0.713,1.704
2015,"Nieman, Jordan",Manchester,Sr,3B,195,0.464,0.782,0.722,1.649
2015,"DeMedeiros, Cory",UMass Dartmouth,Sr,C,178,0.448,0.748,0.701,1.596
2015,"Koon, Tiras",Willamette,Sr,C,159,0.456,0.750,0.680,1.593
2015,"Dean, Nick",Maryville (TN),Sr,INF,174,0.469,0.699,0.633,1.571
2015,"Pierce, Mikole",Wis.-Whitewater,Sr,INF,208,0.465,0.680,0.638,1.567
2015,"Grimes, Casey",Rowan,Sr,1B,188,0.479,0.638,0.605,1.563
2015,"Polcyn, Michael",Ripon,Sr,INF,169,0.437,0.746,0.680,1.553
2015,"Dunn, Jake",Kenyon,Sr,INF,173,0.480,0.655,0.591,1.550
2015,"Tew, Parker",MIT,Sr,INF,207,0.445,0.711,0.649,1.539
2015,"Creekmore, Zack",Edgewood,Sr,INF,167,0.466,0.645,0.591,1.524
2015,"Fox, Sam",Pomona-Pitzer,Sr,INF,195,0.457,0.651,0.586,1.499
2015,"Sawyer, Ben",Alvernia,Sr,OF,206,0.422,0.724,0.648,1.491
2015,"Hanahan, Ryan",Marietta,Sr,3B,226,0.429,0.675,0.630,1.488
2015,"Alvarez, Kevin",Averett,Sr,INF,170,0.472,0.596,0.543,1.486
2015,"Derosier, William",Framingham St.,Sr,INF,178,0.435,0.646,0.602,1.472
2015,"Hanke, Cody",Wis.-Stevens Point,Sr,1B,205,0.415,0.672,0.642,1.471
2015,"Howard, Cody",McMurry,Sr,1B,169,0.417,0.673,0.632,1.466
2015,"Loewe, Robert",Mary Hardin-Baylor,Sr,INF,180,0.453,0.589,0.553,1.460
2015,"Gray, Zach",Allegheny,Sr,INF,172,0.449,0.599,0.557,1.454
2015,"Breen, Danny",Salisbury,Sr,OF,155,0.442,0.613,0.568,1.452
2015,"Vance, Frank",Wooster,Sr,INF,221,0.410,0.710,0.630,1.450
2015,"Cupery, Peter",Calvin,Sr,P,167,0.454,0.579,0.541,1.449
2015,"Coyne, Joe",St. Joseph's (ME),Sr,C,169,0.444,0.612,0.560,1.448
2015,"Saccocio, Dan",Oswego St.,Sr,OF,186,0.503,0.474,0.443,1.448
