year,player_name,team_name,class_year,position,p_gs,p_ip,p_so,p_bb,outs,adj_so9,adj_bb9,index
2013,"Martin, Harvey",Minn. St. Mankato,Sr,Outfield,13,78.2,91,7,236,9.38,0.00,20.56
2013,"Jay, Peter",New Haven,Sr,Pitcher,0,34.1,38,3,103,8.38,0.00,19.48
2013,"Candelmo, Joe",Mansfield,Sr,Pitcher,10,65.2,55,1,197,6.53,0.00,19.46
2013,"Zambron, Brad",Grand Valley St,Sr,Pitcher,1,43,47,6,129,8.58,1.05,15.04
2013,"Aeschlimann, Max",West Ga,Sr,Pitcher,0,33.1,26,3,100,6.81,0.00,12.22
2013,"Lomascolo, Nick",Catawba,Sr,Pitcher,13,92.2,123,23,278,10.75,2.05,11.68
2013,"Carter, Ethan",UNC Pembroke,Sr,Pitcher,10,73,69,11,219,7.86,1.02,11.35
2013,"Kalis, Logan",Bemidji St,Sr,Pitcher,4,43.1,42,6,130,7.37,1.09,10.94
2013,"Schwieger, Eric",Wayne St. (NE),Sr,Pitcher,10,62.1,68,11,187,8.37,1.08,10.82
2013,"Seier, Alex",Rockhurst,Sr,Pitcher,4,65.1,41,4,196,4.71,0.00,9.77
2013,"Cummings, Tom",Mercy,Sr,Pitcher,8,54,38,5,162,5.54,0.00,8.87
2013,"Goodbrand, Ryan",UC San Diego,Sr,Pitcher,12,75.2,76,15,227,8.73,1.03,8.66
2013,"Hicks, Christian",Lenoir-Rhyne,Sr,Pitcher,6,59.2,49,9,179,6.86,1.02,8.28
2013,"Lieser, Scott",St. Cloud St,Sr,Pitcher,13,83,66,11,249,6.56,1.07,7.92
2013,"Cooke, Stephen",Indiana (PA),Sr,Pitcher,11,81,99,19,243,10.19,2.16,7.91
2013,"Fogarty, Nick",Valdosta St,Sr,Pitcher,10,56.2,62,13,170,8.76,2.05,7.70
2013,"Smith, Jordan",Minn. Duluth,Sr,Pitcher,9,60.2,45,7,182,5.52,1.09,7.52
2013,"Wallace, Glenn",Sonoma St,Sr,Pitcher,14,98,71,12,294,5.85,1.02,7.27
2013,"Sechler, Jordan",Cal St. L.A,Sr,Pitcher,15,114.1,84,14,343,5.82,1.03,7.09
2013,"Gray, Heath",Erskine,Sr,Pitcher,13,88.1,88,18,265,7.82,1.02,7.01
2013,"Fontaine, Matt",Cal St. East Bay,Sr,Pitcher,7,66.2,55,11,200,6.79,1.03,6.90
2013,"Thompson, Ryan",Franklin Pierce,Sr,Pitcher,9,48.1,61,13,145,10.39,2.12,6.73
2013,"Martinez, Gabriel",East Central,Sr,Pitcher,6,59,37,6,177,4.88,0.00,6.38
2013,"Hahn, Carter",Abilene Christian,Sr,Pitcher,12,79.2,86,20,239,8.82,2.04,6.00
2013,"Pagan, Emilio",Belmont Abbey,Sr,Third Base,2,34,39,9,102,9.75,2.05,5.67
2013,"Picht, Keith",Emporia St,Sr,Pitcher,2,41,51,12,123,10.72,2.05,5.47
2013,"Kovacs, Nic",Palm Beach Atl,Sr,Pitcher,13,104.2,62,11,314,4.87,0.00,5.37
2013,"Burke, AJ",Western Ore,Sr,Pitcher,12,90.2,91,20,272,8.50,1.06,5.36
2013,"Contaldi, Vinnie",Nova Southeastern,Sr,Pitcher,13,76,64,14,228,6.87,1.02,5.30
2013,"Johnansen, Tadd",Wayne St. (NE),Sr,Pitcher,11,67.2,64,13,203,7.44,1.08,4.95
2013,"Thomas, Brad",Ashland,Sr,Pitcher,14,93.2,50,9,281,3.79,0.00,4.83
