year,player_name,team_name,class_year,position,p_gs,p_ip,p_so,p_bb,outs,adj_so9,adj_bb9,index
2013,"Brunnemann, Tyler",Hardin-Simmons,Sr,Pitcher,,40,62,3,120,11.89,0.00,30.96
2013,"Purnell, Matt",Eastern Conn. St,Sr,Pitcher,,38.2,51,5,116,10.36,1.06,21.27
2013,"Haller, Jared",Saint Vincent,Sr,Pitcher,11,66,50,4,198,5.46,0.00,12.72
2013,"Thomas, Dylan",St. Thomas (MN),Sr,Designated Hitter,8,55.1,60,9,166,8.47,1.06,12.44
2013,"Beatty, Max",Pacific Lutheran,Sr,Pitcher,13,87,90,13,261,8.58,1.05,12.09
2013,"Dierke, Tyler",Kenyon,Sr,Pitcher,9,58.2,59,9,176,8.36,1.08,11.10
2013,"Melchiorre, Steven",Rowan,Sr,Pitcher,11,81.1,81,12,244,7.57,1.06,10.88
2013,"Van Zant, Oliver",Bowdoin,Sr,Shortstop,8,53,57,9,159,8.34,1.08,10.69
2013,"White, Keenan",Wooster,Sr,Pitcher,12,80.2,85,14,242,8.46,1.06,10.38
2013,"Webster, Seth",Louisiana Col,Sr,Pitcher,13,91.2,65,8,275,5.52,0.00,9.87
2013,"Bonser, Stephen",Washington-St. Louis,Sr,Pitcher,11,79.2,56,7,239,5.69,0.00,9.67
2013,"Dallas, Derek",Texas-Dallas,Sr,Pitcher,12,86,67,9,258,6.46,0.00,9.64
2013,"Cydrus, David",Otterbein,Sr,Pitcher,8,59.1,33,3,178,4.63,0.00,9.59
2013,"Price, Austin",Ohio Northern,Sr,Pitcher,9,51.1,47,7,154,7.41,1.08,9.26
2013,"Anderson, Richard",Staten Island,Sr,Pitcher,11,86,62,7,258,5.26,0.00,8.69
2013,"Duxbury, Tim",Denison,Sr,Infield,5,42.1,29,4,127,5.67,0.00,8.55
2013,"Hesslein, Brady",Colby,Sr,Outfield,7,40,25,3,120,4.64,0.00,8.39
2013,"Lucero, Ryan",Trinity (TX),Sr,Pitcher,13,82,80,14,246,7.43,1.08,7.99
2013,"Rowley, Matt",Bethel (MN),Sr,Outfield,9,65.1,59,10,196,7.34,1.09,7.84
2013,"Bombria, Zach",Fitchburg St,Sr,Pitcher,3,41,32,5,123,6.12,1.14,6.90
2013,"Dittrick, Rob",Pacific (OR),Sr,Pitcher,10,80.1,40,6,241,3.83,0.00,6.18
2013,"Klimoff, Erik",Neumann,Sr,Pitcher,2,37.2,36,7,113,7.39,1.08,5.80
2013,"Conroy, Sean",Rensselaer,Sr,Pitcher,11,79.2,57,10,239,5.49,1.09,5.37
2013,"Benson, Garrett",Bethany Lutheran,Sr,Pitcher,8,51.2,47,9,155,7.18,1.11,4.80
2013,"Sheppard, Matt",Texas-Tyler,Sr,Pitcher,2,34.2,17,3,104,3.70,0.00,4.44
2013,"Jones, Zach",McDaniel,Sr,Pitcher,12,77.1,83,18,232,8.27,2.18,3.97
2013,"Johnson, Parker",Willamette,Sr,Pitcher,4,44,22,4,132,3.79,0.00,3.86
2013,"Ellefson, Dan",Hamline,Sr,Third Base,10,59,40,8,177,5.54,1.08,3.62
2013,"Cook, Bob",Amherst,Sr,Pitcher,9,66.2,39,8,200,4.71,1.06,3.53
2013,"Swerdloff, Mike",Brandeis,Sr,Pitcher,10,75,48,10,225,4.68,1.07,3.10
2013,"Darby, Tom",Eastern Conn. St,Sr,Pitcher,11,63.2,67,16,191,8.47,2.12,3.00
2013,"Dupras, Kevin",Endicott,Sr,Pitcher,,33.2,39,9,101,9.27,2.16,2.85
2013,"Ockner, Max",MIT,Sr,Pitcher,10,62.1,39,8,187,4.60,1.09,2.75
2013,"Mulvey, Mike",Marietta,Sr,Pitcher,13,101.1,65,15,304,4.76,1.05,2.53
